Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement best distinguishes psychological testing from psychological assessment?,"Testing refers only to intelligence tests, whereas assessment refers only to personality tests.","Testing is the administration of measures, whereas assessment involves gathering and integrating data from multiple sources for evaluation.","Testing is always objective, whereas assessment is always subjective.","Testing is used only in schools, whereas assessment is used only in clinics.",2,"Psychological testing is narrower and refers to measuring variables through tests or procedures. Psychological assessment is broader and involves integrating data from tests, interviews, observations, case history, and other tools to arrive at an evaluation.",medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
"A psychometrician administers a cognitive test, interviews the client, reviews school records, and observes task behavior before arriving at a conclusion. This activity is best described as:",scoring,norming,psychological assessment,test standardization,3,Using multiple data sources and integrating them into a conclusion is characteristic of psychological assessment rather than mere testing.,medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
Which is the best definition of a psychological test?,A fixed interview conducted only by psychologists,A set of items designed solely to diagnose abnormal behavior,A device or procedure for obtaining a sample of behavior relevant to a psychological variable,A report summarizing the examiner's impressions,3,A psychological test is designed to obtain a sample of behavior relevant to a variable of interest so that inferences may be made.,medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
Which statement about a test item is most accurate?,It is the overall interpretation of the test score.,It is a specific stimulus to which the examinee responds in a scorable way.,It is the normative table used for interpretation.,It is the final diagnosis based on test data.,2,"An item is a specific question, problem, or stimulus on a test that elicits a response that can be scored or evaluated.",medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
"A school examiner says, ""This test score perfectly captures the student's actual ability."" Which statement is most appropriate?","Correct, because standardized tests eliminate all error.","Correct, because scores always reflect true ability.","Incorrect, because tests sample behavior and are subject to measurement error.","Incorrect, because only interviews can measure ability accurately.",3,Test scores are not perfect reflections of true ability. They are based on samples of behavior and are always associated with some measurement error.,medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
Which pair is most accurately matched?,Trait -- temporary condition,State -- enduring tendency,Trait -- relatively enduring disposition,State -- stable personality characteristic,3,"Traits refer to relatively enduring tendencies or dispositions, whereas states are more temporary conditions.",medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
A student who is usually calm becomes extremely anxious during an examination. The anxiety shown during the examination is best classified as a:,trait,state,norm,validity coefficient,2,A temporary anxious condition during an examination is a state rather than a longstanding trait.,medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
"Which tool of assessment is most appropriate when the examiner wants detailed background information about developmental, medical, family, and educational history?",Portfolio,Case history data,Role-play test,Projective technique,2,"Case history data provide background information about developmental, medical, educational, family, and related factors relevant to the referral.",medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
Which statement best describes behavioral observation as a tool of assessment?,It depends entirely on self-report.,"It involves monitoring actions directly, often in real or structured settings.",It is limited to laboratory experiments.,It is identical to a written achievement test.,2,"Behavioral observation involves direct monitoring of behavior, whether naturalistic or structured, to inform assessment.",medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
A clinician asks a trainee to respond to a simulated angry client to evaluate interpersonal skill. This is best classified as:,case history method,portfolio assessment,role-play test,free association,3,A simulated interpersonal situation designed to evaluate performance is a role-play test.,medium,Psychological Assessment,Chapter 1,Psychological Testing and Assessment
