"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"A developmental researcher argues that behavior can only be understood by examining how biological, psychological, and social systems interact dynamically over time. This view is most consistent with:","reductionism","dynamic systems approach","maturation theory","nativism","2","Development is best explained as the result of continuous interaction among multiple systems rather than a single factor.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A child raised in two cultures shows flexible adaptation to different norms depending on context. This best illustrates:","plasticity","fixation","imprinting","conservation","1","Plasticity refers to the capacity for change and adaptation in response to environmental demands.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which concept refers to the timing of biological and environmental events relative to their impact on development?","epigenesis","developmental timing","canalization","cohort effect","2","Developmental timing concerns when events occur and how their timing influences developmental outcomes.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A study finds that individuals born in the same year share unique developmental experiences due to historical events. This is known as:","maturation effect","cohort effect","practice effect","regression effect","2","Cohort effects arise from shared historical experiences among individuals born at the same time.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which theorist emphasized ecological systems influencing development?","Skinner","Bronfenbrenner","Pavlov","Thorndike","2","Bronfenbrenner proposed ecological systems theory, emphasizing environmental layers shaping development.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A psychologist studies how parenting practices differ across socioeconomic groups and affect child outcomes. This is an example of:","micro-level analysis only","macrosystem influence","exosystem influence","chronosystem analysis","2","Socioeconomic factors reflect broader cultural and societal influences within the macrosystem.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which research design is most effective in separating age effects from cohort effects?","cross-sectional","longitudinal","sequential","correlational","3","Sequential designs combine methods to distinguish age-related changes from cohort influences.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A researcher repeatedly measures how a child learns a new task over several trials in a short period. This is:","longitudinal method","microgenetic method","experimental design","ethnographic study","2","Microgenetic methods capture rapid changes during learning over short periods.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which principle ensures that participants are not exposed to unnecessary harm during research?","justice","beneficence","fidelity","autonomy","2","Beneficence requires minimizing harm and maximizing participant welfare.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A researcher conceals the true purpose of a study but explains it afterward. This process is called:","standardization","manipulation","debriefing","anonymization","3","Debriefing involves explaining the true nature of the study after participation.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A trait that appears only when both alleles are identical is:","dominant","recessive","polygenic","multifactorial","2","Recessive traits are expressed only when two identical alleles are present.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Identical twins who are raised apart still show similarities in personality. This supports:","environmental determinism","genetic influence","cultural relativism","social learning only","2","Similarities despite different environments indicate strong genetic contributions.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which prenatal complication involves improper implantation of the placenta?","ectopic pregnancy","placenta previa","teratogenesis","gestational diabetes","2","Placenta previa occurs when the placenta blocks the cervical opening.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A pregnant woman experiences severe stress. The fetus is at risk primarily due to:","increased nutrient intake","hormonal changes affecting development","improved oxygenation","reduced blood circulation","2","Maternal stress hormones can negatively influence fetal development.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which nutrient deficiency is strongly associated with neural tube defects?","iron","calcium","folic acid","vitamin C","3","Folic acid is essential for proper neural tube development.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which factor most strongly predicts neonatal survival?","birth order","birth weight","parental education","infant temperament","2","Higher birth weight is strongly associated with increased survival rates.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A newborn turns its head toward a touch on the cheek. This is the:","Babinski reflex","rooting reflex","Moro reflex","grasp reflex","2","The rooting reflex helps infants locate a food source.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which sense is least developed at birth?","vision","hearing","smell","touch","1","Vision is the least mature sensory system at birth.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"An infant recognizes their caregiver's voice shortly after birth. This ability develops primarily through:","postnatal learning","prenatal experience","conditioning after birth","imitation","2","Fetuses can hear and learn sounds before birth.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"The concept of intermodal perception refers to:","combining information from multiple senses","focusing attention on one stimulus","ignoring irrelevant stimuli","reflexive responses","1","Intermodal perception integrates sensory inputs across modalities.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A baby learns that shaking a rattle produces sound. This is an example of:","operant conditioning","classical conditioning","habituation","sensitization","1","The baby learns through consequences of behavior.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"When infants modify schemas based on new experiences, this is called:","assimilation","accommodation","equilibration","conservation","2","Accommodation involves changing schemas to fit new information.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A toddler pretends a block is a phone. This demonstrates:","symbolic thought","egocentrism","centration","irreversibility","1","Symbolic thinking allows one object to represent another.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A child insists the moon is following them. This reflects:","animism","centration","egocentrism","transductive reasoning","3","Egocentrism involves inability to distinguish one's perspective from reality.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A child believes breaking more cups is worse than breaking one cup accidentally. This reflects:","moral relativism","heteronomous morality","autonomous morality","moral disengagement","2","Young children judge actions based on consequences rather than intent.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A child improves reading skills through guided support from a teacher. This reflects:","conditioning","scaffolding","imprinting","habituation","2","Scaffolding involves guided support from a more knowledgeable individual to enhance learning.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which factor most influences school readiness?","genetic intelligence alone","early learning experiences","birth order","gender","2","Exposure to stimulating and supportive environments prepares children for school tasks.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A child with ADHD struggles mainly with:","emotional attachment","attention regulation","language development","moral reasoning","2","ADHD is primarily characterized by difficulties in sustaining attention and controlling impulses.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A child who is both assertive and cooperative is likely to be:","rejected","neglected","popular","controversial","3","Social competence, including assertiveness and cooperation, is associated with peer acceptance.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A child imitates aggressive behavior seen in media. This supports:","psychoanalytic theory","social learning theory","cognitive theory","maturation theory","2","Behavior is learned through observation and imitation of models.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which statement best describes puberty as a developmental process?","It is a single event completed in one month.","It is a biologically driven transition involving hormonal and physical maturation.","It occurs at the same age for all adolescents.","It affects only physical growth and not behavior.","2","Puberty is a gradual biological process involving hormonal changes and physical development.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Early-maturing boys are often viewed by peers as:","less competent and socially immature","physically weaker and more dependent","more confident and socially mature","less likely to engage in risk-taking","3","Early maturation in boys is often associated with higher social status and confidence.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which brain region is especially linked to planning, impulse control, and decision-making in adolescence?","medulla","cerebellum","prefrontal cortex","occipital lobe","3","The prefrontal cortex is responsible for executive functions and matures during adolescence.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"The tendency of adolescents to believe their feelings are unique and incomprehensible to others is called:","personal fable","object permanence","social referencing","reaction formation","1","Adolescents often believe their experiences are unique and not understood by others.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which is the best example of formal operational thinking?","A child groups objects by color.","An adolescent reasons through hypothetical scientific problems.","A toddler searches for a hidden toy.","A preschooler engages in pretend play.","2","Formal operations involve abstract and hypothetical reasoning.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A teenager argues that a rule should be evaluated according to fairness rather than simple obedience. This reflects movement toward:","preconventional reasoning","postconventional reasoning","heteronomous morality","conditioned compliance","2","Postconventional reasoning involves evaluating rules based on ethical principles.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Marcia's identity status involving commitment after exploration is:","diffusion","foreclosure","achievement","moratorium","3","Identity achievement follows exploration and commitment.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"An adolescent who has not explored career options and shows little concern about future plans is in identity:","diffusion","achievement","foreclosure","moratorium","1","Diffusion reflects lack of both exploration and commitment.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which parental style is most consistently associated with lower adolescent misconduct and stronger self-regulation?","authoritarian","authoritative","permissive","uninvolved","2","Authoritative parenting combines warmth and control, promoting positive outcomes.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A youth joins a peer group mainly to gain approval and belonging. This behavior most directly reflects the developmental importance of:","attachment in infancy","peer affiliation in adolescence","object permanence","reflex development","2","Peer relationships are central to social development during adolescence.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Emerging adulthood is most often marked by:","complete role stability","identity exploration and instability","universal marriage and parenthood","declining cognitive flexibility","2","Emerging adulthood involves exploration in identity and life directions.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Which term refers to thinking that integrates logic with practical experience and ambiguity in adulthood?","preoperational thought","postformal thought","sensorimotor thought","concrete symbolism","2","Postformal thought reflects flexible and realistic reasoning.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"A young adult chooses a job that offers lower salary but stronger alignment with personal values. This best reflects:","crystallized intelligence","postformal reasoning","reaction formation","stranger anxiety","2","This decision shows integration of values and practical reasoning.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
"Sternberg's practical intelligence is best demonstrated when a person:","memorizes vocabulary definitions","solves everyday real-world problems effectively","recalls childhood events accurately","completes abstract analogies quickly","2","Practical intelligence involves solving real-life problems.","Medium","Developmental Psychology","Chapter 10 Set 10","Chapter 10 Set 10"
