Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
"An industrial-organizational psychometrician is reviewing the performance scores of 500 applicants. If the distribution of scores is significantly positively skewed, what does this imply about the test difficulty-",The test was likely too easy for the group.,The test was likely too difficult for the group.,The mean score is lower than the median score.,The majority of applicants scored above the average.,3,"In a positively skewed distribution, the ""tail"" points toward the higher scores (right side), meaning the majority of examinees clustered at the lower (left) end. This statistically indicates that the test was difficult for the group.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"Which of the following scales of measurement is the only one that possesses a ""true zero"" point, allowing for the statement that one score is twice as large as another-",Nominal,Ordinal,Interval,Ratio,3,"Ratio scales possess all the properties of nominal, ordinal, and interval scales, plus an absolute ""true zero"" (absence of the trait). This allows for statements of proportionality (e.g., ""twice as much"").",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"A researcher finds that the correlation between ""Hours of Study"" and ""Test Anxiety"" is $r = -0.75$. How should this be interpreted-",Increased study hours cause a decrease in anxiety.,There is a strong inverse relationship between study hours and anxiety.,75% of the variance in anxiety is explained by study hours.,There is a weak relationship because the coefficient is negative.,3,"A correlation coefficient ($r$) of $-0.75$ represents a strong inverse relationship. The closer the number is to $1.0$ (regardless of sign), the stronger the relationship.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"When a distribution of scores is perfectly symmetrical and unimodal, which of the following statements is TRUE-","The mean, median, and mode are all equal.",The standard deviation must be 1.0.,The range is equal to the variance.,The distribution is leptokurtic.,3,"In a Perfect Normal Curve (Symmetrical and Unimodal), the Mean, Median, and Mode are all located at the exact same point in the center.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"A psychometrician is calculating the ""average"" of a set of scores that contains several extreme outliers. Which measure of central tendency should be reported to provide the most accurate representation of the data-",Mean,Median,Mode,Harmonic Mean,3,The Median is the preferred measure of central tendency when a distribution is skewed or contains outliers because it is not affected by extreme values at the ends.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"In a normal distribution, approximately what percentage of scores fall between the mean and +1 standard deviation-",13.5%,34.1%,68.2%,95.4%,3,"In a normal distribution, the area between the Mean ($Z=0$) and $+1$ Standard Deviation ($Z=1$) contains approximately 34.1% of the cases.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A student receives a Z-score of +2.00 on a personality assessment. What is the equivalent T-score for this student-,60,70,80,40,3,Using the formula $T = 10(Z) + 50$. Given $Z = +2.00$: $10(2) + 50 = 70$.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
Which property of the standard deviation makes it a more useful measure of variability than the variance in clinical reporting-,It is always a positive number.,It is expressed in the same units as the original raw scores.,It is the square of the variance.,It is less sensitive to outliers than the range.,3,"Standard Deviation is the square root of the variance. This math returns the value to the original units of the raw scores, making it interpretable for clinicians and clients.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"A distribution that is very ""peaked"" with thin tails is described as:",Platykurtic,Mesokurtic,Leptokurtic,Negatively skewed,3,"Leptokurtic distributions are characterized by a high peak and ""fat"" or ""thin"" tails, indicating scores are tightly clustered around the mean.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
Which of the following is an example of an ordinal scale-,License plate numbers,Temperature in Celsius,Ranking of Miss Universe finalists,Weight in kilograms,3,"Ordinal scales provide a rank order. Miss Universe finalists (1st, 2nd, 3rd) show who is better but not by exactly ""how much.""",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"Under the Code of Ethics and R.A. 11036 (Mental Health Act), who is primarily responsible for the selection, administration, and interpretation of psychological tests-",The client's immediate family,The HR Manager (non-psychologist),The Licensed Psychologist or Psychometrician under supervision,The test publisher,3,"Under R.A. 10029 (Psychology Act), Psychometricians are authorized to administer and score objective tests. Interpretation must be done under the supervision of a Licensed Psychologist.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"If a Psychometrician is asked to administer a Level C test (e.g., individual intelligence tests), what is the ethical requirement according to PRC standards-",They can do it independently as long as they are licensed.,They must be under the direct supervision of a licensed psychologist.,They are strictly prohibited from touching Level C materials.,They only need the verbal permission of the client.,3,"Level C tests (Projectives, Individual Intelligence Tests) require advanced training. A Psychometrician may assist but requires direct supervision by a Licensed Psychologist.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A raw score of 85 falls at the 75th percentile. What does this mean-,The student got 75% of the items correct.,75% of the norm group scored at or below 85.,85% of the norm group scored at or below 75.,The score is 1.5 standard deviations above the mean.,3,A Percentile Rank indicates the percentage of people in the norm group who scored at or below a specific raw score.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
