Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
"A client reports low mood, insomnia, loss of appetite, and fatigue for 3 weeks. Two years earlier, she had a 10-day period of elevated mood, decreased need for sleep, pressured speech, and impulsive spending that caused major impairment. Which diagnosis is most likely?",Major depressive disorder,Bipolar I disorder,Bipolar II disorder,Cyclothymic disorder,2,"A past manic episode causing marked impairment is sufficient for Bipolar I disorder, even if the current presentation is depressive.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A 7-year-old child has persistent difficulty initiating conversation, poor eye contact, limited peer reciprocity, and restricted repetitive interests present since early childhood. Which diagnosis is most likely?",Social anxiety disorder,Selective mutism,Autism spectrum disorder,Reactive attachment disorder,3,Persistent social communication deficits plus restricted/repetitive behavior beginning early in development support autism spectrum disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which feature best distinguishes obsession from delusion?,Obsessions are always mood-congruent,Obsessions are experienced as intrusive and unwanted,Delusions always involve hallucinations,Delusions disappear with reassurance,2,"Obsessions are recurrent intrusive thoughts, urges, or images, typically recognized as unwanted, unlike fixed false beliefs.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A patient presents with auditory hallucinations and persecutory delusions for 4 days after heavy methamphetamine use, with no prior psychotic history. What is the best initial diagnostic consideration?",Schizophrenia,Delusional disorder,Substance/medication-induced psychotic disorder,Schizoaffective disorder,3,The close temporal link between methamphetamine use and psychosis makes substance-induced psychosis the best initial diagnosis.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A clinician suspects that a patient is intentionally feigning symptoms to avoid criminal liability. Which condition should be ruled out first?,Factitious disorder,Malingering,Somatic symptom disorder,Illness anxiety disorder,2,Feigning for an obvious external incentive such as avoiding criminal liability suggests malingering.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A person has recurrent unexpected panic attacks and has become afraid of leaving home alone because escape may be difficult if symptoms occur. Which diagnosis best fits?,Panic disorder only,Agoraphobia only,Panic disorder with agoraphobic avoidance,Generalized anxiety disorder,3,Unexpected panic attacks plus fear and avoidance of places where escape may be hard fit panic disorder with agoraphobic features.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A college student fears embarrassment in recitations and avoids oral reports, but is comfortable socializing with close friends. Which diagnosis is most likely?",Avoidant personality disorder,Social anxiety disorder,Panic disorder,Schizoid personality disorder,2,The fear is focused on social scrutiny and embarrassment in performance situations.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which statement about generalized anxiety disorder is most accurate?,Worry is confined to panic attacks,Anxiety is restricted to traumatic reminders,Excessive worry is difficult to control and spans multiple domains,The person must have compulsions,3,"GAD involves persistent, difficult-to-control worry across domains like work, health, and family.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
A woman repeatedly checks locks for hours because she fears burglars despite knowing the fear is excessive. The checking is performed to reduce distress. Which diagnosis is most likely?,Obsessive-compulsive disorder,Delusional disorder,Paranoid personality disorder,Specific phobia,1,Intrusive fear plus repetitive checking done to reduce distress is classic OCD.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A patient persistently believes that her nose is horribly deformed despite minimal observable defect and repeatedly seeks cosmetic consultation. Which diagnosis is most likely?,Somatic symptom disorder,Body dysmorphic disorder,Illness anxiety disorder,"Delusional disorder, grandiose type",2,Preoccupation with perceived appearance defects plus repetitive behaviors and cosmetic seeking fits body dysmorphic disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which feature best differentiates hoarding disorder from obsessive-compulsive disorder?,Hoarding always involves contamination fears,Hoarding is never ego-syntonic,Difficulty discarding possessions is the central and persistent problem,OCD never includes saving behaviors,3,Hoarding disorder centers on persistent difficulty discarding possessions regardless of value.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A client develops intrusive memories, nightmares, avoidance, hypervigilance, and exaggerated startle one month after surviving an armed robbery. Which diagnosis is most likely?",Acute stress disorder,Posttraumatic stress disorder,Adjustment disorder,Generalized anxiety disorder,2,"Trauma exposure plus intrusion, avoidance, and arousal symptoms persisting about a month fits PTSD.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
A person experiences depersonalization episodes but reality testing remains intact. Which diagnosis is most likely?,Delusional disorder,Psychotic disorder due to another medical condition,Depersonalization/derealization disorder,Schizophrenia,3,Depersonalization with intact reality testing supports depersonalization/derealization disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A patient is preoccupied with having a serious disease despite minimal somatic symptoms and repeated medical reassurance. Which diagnosis is most likely?,Illness anxiety disorder,Somatic symptom disorder,Factitious disorder,Conversion disorder,1,Marked disease preoccupation despite minimal somatic symptoms is illness anxiety disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A patient presents with sudden paralysis of the arm after a family conflict. Neurologic findings are incompatible with recognized neurological disease. Which diagnosis is most likely?,Factitious disorder,Conversion disorder,Illness anxiety disorder,Malingering,2,Neurological symptoms inconsistent with known disease after psychological conflict suggest conversion disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A client falsifies symptoms and tampers with laboratory specimens to assume the sick role, without obvious external reward. Which diagnosis is most likely?",Somatic symptom disorder,Malingering,Factitious disorder,Illness anxiety disorder,3,Intentional falsification without obvious external reward supports factitious disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Which eating disorder is most strongly characterized by low body weight, intense fear of gaining weight, and disturbance in body image?",Bulimia nervosa,Binge-eating disorder,Anorexia nervosa,Avoidant/restrictive food intake disorder,3,"Low weight, fear of weight gain, and body image disturbance define anorexia nervosa.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
Recurrent binge eating followed by compensatory vomiting at least once a week for 3 months is most consistent with:,Anorexia nervosa,Bulimia nervosa,Binge-eating disorder,Pica,2,Recurrent binge eating with compensatory purging at least weekly for 3 months defines bulimia nervosa.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A person has recurrent binge eating with marked distress but no regular compensatory behavior. Which diagnosis is most likely?,Bulimia nervosa,Binge-eating disorder,Anorexia nervosa,Rumination disorder,2,Binge eating with distress but no regular compensatory behavior is binge-eating disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Persistent difficulty falling asleep despite adequate opportunity for sleep, with daytime impairment, is most consistent with:",Nightmare disorder,Insomnia disorder,Delirium,Circadian rhythm sleep-wake disorder only,2,Persistent sleep-initiation difficulty despite adequate opportunity with daytime impairment fits insomnia disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Sudden, irresistible sleep attacks with cataplexy are most suggestive of:",Insomnia disorder,Nightmare disorder,Narcolepsy,Sleep terror disorder,3,Sleep attacks and cataplexy strongly indicate narcolepsy.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which disorder involves repeated failure to resist aggressive impulses resulting in serious assaultive acts or property destruction disproportionate to provocation?,Conduct disorder,Antisocial personality disorder,Intermittent explosive disorder,Oppositional defiant disorder,3,Impulsive aggression grossly out of proportion to provocation is characteristic of intermittent explosive disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A 14-year-old repeatedly bullies peers, steals, lies, and has violated major rules for over a year. Which diagnosis is most likely?",Oppositional defiant disorder,Conduct disorder,Intermittent explosive disorder,ADHD,2,"Bullying, stealing, deceitfulness, and serious rule violations indicate conduct disorder.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A pattern of angry/irritable mood, argumentative behavior, and vindictiveness toward authority figures without serious rights violations is most consistent with:",Conduct disorder,Oppositional defiant disorder,Disruptive mood dysregulation disorder,Intermittent explosive disorder,2,"Angry, argumentative, and vindictive behavior without severe rights violations best fits ODD.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which substance class is a central nervous system depressant?,Cocaine,Alcohol,Amphetamine,LSD,2,Alcohol is a depressant affecting the central nervous system.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A patient has tolerance, withdrawal, unsuccessful efforts to cut down, and continued heavy drinking despite marital problems. Which diagnosis is most likely?",Alcohol intoxication,Alcohol use disorder,Alcohol withdrawal only,Sedative use disorder,2,"Tolerance, withdrawal, failed control, and continued use despite harm indicate alcohol use disorder.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Recurrent gambling despite major financial, occupational, and family consequences is classified under:",Impulse-control disorders only,Substance-related disorders,Addictive disorders,Neurocognitive disorders,3,Gambling disorder is classified with substance-related and addictive disorders.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A patient fluctuates in consciousness, is disoriented, and has acute onset visual hallucinations after surgery. Which diagnosis is most likely?",Major neurocognitive disorder,Delirium,Schizophrenia,Brief psychotic disorder,2,Acute fluctuating attention disturbance after surgery with hallucinations is classic delirium.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Progressive memory decline plus impairment in daily functioning due to cognitive deterioration best supports:,Mild neurocognitive disorder,Major neurocognitive disorder,Delirium,Dissociative amnesia,2,Cognitive decline that interferes with independence in everyday activities indicates major neurocognitive disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which feature best characterizes paranoid personality disorder?,Grandiosity and need for admiration,Detachment and indifference to praise or criticism,Pervasive distrust and suspiciousness,Instability of identity and relationships,3,Paranoid personality disorder is defined by chronic suspiciousness and mistrust.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A client shows frantic efforts to avoid abandonment, unstable relationships, identity disturbance, impulsivity, and recurrent self-harm. Which diagnosis is most likely?",Histrionic personality disorder,Borderline personality disorder,Bipolar II disorder,Dependent personality disorder,2,"Abandonment fears, unstable identity, impulsivity, and self-harm are core borderline features.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which personality disorder is most associated with disregard for and violation of the rights of others since age 15?,Narcissistic personality disorder,Borderline personality disorder,Antisocial personality disorder,Paranoid personality disorder,3,A pervasive disregard for others' rights since adolescence is central to antisocial personality disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A client believes that casual comments by coworkers contain special messages meant only for him. This is best described as:,Obsession,Thought insertion,Delusion of reference,Flight of ideas,3,Believing neutral events contain personal messages is a delusion of reference.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which symptom is classified as a negative symptom of schizophrenia?,Hallucinations,Delusions,Avolition,Disorganized speech,3,Avolition is a negative symptom involving reduced motivation.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Continuous signs of disturbance for at least 6 months with active-phase psychotic symptoms for at least 1 month are most consistent with:,Brief psychotic disorder,Schizophreniform disorder,Schizophrenia,Delusional disorder,3,Six months of continuous disturbance with active psychotic symptoms supports schizophrenia.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Which diagnosis requires a major mood episode present for the majority of the total duration of illness, along with psychotic symptoms and at least 2 weeks of delusions or hallucinations without mood symptoms?",Bipolar I disorder,Schizoaffective disorder,Major depressive disorder with psychotic features,Brief psychotic disorder,2,Schizoaffective disorder requires mood episodes for most of illness plus at least 2 weeks of psychosis without mood symptoms.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Which disorder best explains a fixed false belief of being loved by a famous person, without prominent hallucinations or marked functional decline outside the delusional impact?",Schizophrenia,Delusional disorder,Bipolar I disorder,Schizotypal personality disorder,2,A circumscribed nonbizarre or bizarre fixed belief with relatively preserved functioning fits delusional disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"A child is inattentive in class, forgetful, loses materials, and is easily distracted in multiple settings. Which diagnosis is most likely?",Oppositional defiant disorder,ADHD,Specific learning disorder,Autism spectrum disorder,2,Persistent inattention across settings is characteristic of ADHD.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A student of average intelligence has persistent difficulty with word reading accuracy and spelling despite targeted instruction. Which diagnosis is most likely?,Intellectual disability,ADHD,Specific learning disorder,Language disorder,3,Average intelligence with persistent reading/spelling deficits despite instruction supports specific learning disorder.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which condition is defined by deficits in intellectual functions and adaptive functioning with onset during the developmental period?,Specific learning disorder,Intellectual disability,ADHD,Autism spectrum disorder,2,Deficits in intellectual and adaptive functioning beginning in the developmental period define intellectual disability.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which feature most strongly supports autism spectrum disorder rather than social anxiety disorder?,Fear of negative evaluation,Onset after a humiliating social event,Restricted repetitive behaviors and persistent social communication deficits,Panic attacks during performance situations,3,These developmental deficits distinguish autism from social anxiety.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Waxy flexibility, stupor, mutism, and posturing are most characteristic of:",Delirium,Catatonia,Dissociative fugue,Conversion disorder,2,"Stupor, mutism, posturing, and waxy flexibility are classic catatonic signs.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which classic theorist is most associated with psychoanalytic theory?,Aaron Beck,Sigmund Freud,B. F. Skinner,Albert Bandura,2,Freud is the major historical figure associated with psychoanalytic theory.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which early medical figure proposed that abnormal behavior could arise from bodily causes rather than supernatural possession?,Hippocrates,Mesmer,Pinel,Kraepelin,1,Hippocrates advanced naturalistic explanations for abnormal behavior.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
"Which model emphasizes reciprocal influences among biological, psychological, and social factors?",Supernatural model,Strict biological reductionism,Integrative multidimensional model,Pure behaviorist model,3,"This model emphasizes interacting biological, psychological, and social influences.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which concept refers to environmental influences on gene expression?,Classical conditioning,Epigenetics,Free association,Projective identification,2,Epigenetics concerns environmental effects on gene expression.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Learning through association between two stimuli is called:,Operant conditioning,Classical conditioning,Modeling,Extinction burst,2,Association between two stimuli defines classical conditioning.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Learning that behavior is influenced by its consequences is central to:,Operant conditioning,Psychoanalysis,Humanism,Structuralism,1,Operant conditioning emphasizes reinforcement and punishment.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which psychologist is most associated with cognitive theory of depression involving negative automatic thoughts?,Ivan Pavlov,Aaron Beck,Carl Rogers,Alfred Adler,2,Beck developed the cognitive model highlighting negative automatic thoughts and schemas.,Medium,Abnormal Psychology,Chapter 1,Chapter 1
A client begins to avoid elevators after experiencing a panic attack inside one. This is best explained by:,Positive reinforcement,Classical conditioning with avoidance maintenance,Sublimation,Splitting,2,"The panic attack conditions fear to elevators, and avoidance maintains the fear.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which assessment method provides the richest source of detailed symptom history and mental status information?,EEG,Clinical interview,MRI,Projective drawing alone,2,"The clinical interview is central for detailed history, symptom context, and mental status.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
Which is the best reason clinicians must rule out substance use before assigning a primary psychiatric diagnosis?,Substance use never co-occurs with mental disorder,Substance-related causes are a common source of diagnostic error,Primary disorders are always more severe,Substance use invalidates all symptoms permanently,2,"Substances can mimic many disorders, so ruling them out prevents a frequent diagnostic mistake.",Medium,Abnormal Psychology,Chapter 1,Chapter 1
