Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement best captures the nature of industrial/organizational psychology?,It is the branch of psychology focused mainly on treating severe mental disorders in employees,It is the branch of psychology concerned with studying behavior in work settings and applying psychology to improve work behavior,It is the branch of business that deals mainly with accounting and labor law,It is the branch of sociology focused exclusively on unions and labor disputes,2,"This is the core definition of I/O psychology--it studies behavior in work settings and applies psychological principles to improve performance, productivity, and well-being.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
A core idea in Chapter 1 is that I/O psychologists are trained under the scientist-practitioner model. This means they are expected to:,prioritize intuition over evidence when making organizational recommendations,conduct research only and avoid applied work,integrate research and application so interventions are grounded in evidence,focus only on clinical counseling in the workplace,3,The scientistpractitioner model emphasizes using scientific research to guide practical interventions in organizations.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which of the following is the best example of the scientific objective of I/O psychology?,Revising a company's leave policy to improve morale,Conducting a study on how virtual teams affect coordination and trust,Training supervisors on feedback delivery,Designing a new employee orientation manual,2,"The scientific objective involves generating knowledge through research, such as studying virtual teams.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which of the following is the best example of the applied objective of I/O psychology?,Publishing a journal article on job attitudes,Comparing theories of leadership in a classroom discussion,Evaluating an employee testing program for an organization,Reviewing the history of the Hawthorne studies,3,The applied objective focuses on using psychological knowledge to solve real workplace problems.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"An I/O psychologist studies employee motivation, job satisfaction, stress, group coordination, and organizational structure. This best illustrates that I/O psychology:",is narrowly limited to test administration,focuses only on selection and placement,"has a broad scope covering personnel, worker, group, and organizational issues",excludes social and organizational processes,3,"I/O psychology covers multiple levels of analysis including individual, group, and organizational processes.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Why is the study of work behavior described as multidisciplinary?,Because only psychologists study work behavior,Because work behavior is understood solely through laboratory experimentation,"Because fields such as management, sociology, economics, and communication also contribute to understanding work",Because psychometricians may independently practice psychotherapy,3,"Work behavior is influenced by multiple disciplines beyond psychology, making it multidisciplinary.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which early contributor is most closely associated with the rise of scientific management?,Elton Mayo,Frederick W. Taylor,Hugo Mnsterberg,Robert Yerkes,2,Frederick Taylor is known as the father of scientific management.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Time-and-motion studies were primarily designed to:,improve morale by enriching jobs,identify unconscious motives of workers,break work into measurable movements to find a more efficient way of doing tasks,assess leadership potential in executives,3,These studies aim to improve efficiency by analyzing and optimizing work movements.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
A factory manager insists there is only one best way to perform every job and wants each task broken into measurable motions. This viewpoint most strongly reflects:,human relations movement,systems theory,scientific management,expectancy theory,3,The belief in one best way to perform tasks is central to scientific management.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which statement is the most accurate criticism of Taylor's approach from a modern I/O perspective?,It overemphasized emotions and ignored efficiency,"It was useful for many manual jobs but too narrow for many complex, creative, knowledge-based jobs",It rejected measurement and standardization,It focused too much on diversity and globalization,2,"Taylor's methods are less applicable to modern, complex, knowledge-based work. (Continuing...)",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which pair is most associated with early motion-study work and productivity improvements?,Mayo and Roethlisberger,Yerkes and Cattell,Frank and Lillian Gilbreth,Skinner and Watson,3,The Gilbreths are known for refining motion study techniques.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"During World War I, psychologists made a major contribution to I/O psychology by helping develop:",psychotherapy protocols for traumatized workers,mass intelligence testing for placement of recruits,job enrichment programs for officers,diversity training modules for military teams,2,Psychologists helped develop large-scale testing systems for military selection.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
The Army Alpha and Beta tests are historically important because they:,were the first projective tests used in military hospitals,marked an early large-scale effort in personnel testing and placement,proved personality predicts all work performance,replaced all interview methods permanently,2,These tests demonstrated the value of large-scale psychological assessment.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which development best reflects the growth of I/O psychology in the 1920s?,The complete decline of testing and consulting,The first doctoral degree in industrial psychology and the rise of consulting work with industry,The end of industrial growth in the United States,The abandonment of employee selection,2,The 1920s marked expansion in academic and applied industrial psychology.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
The Hawthorne studies are most commonly associated with the finding that worker behavior may change because:,pay is the only determinant of productivity,workers are aware they are being observed and attach meaning to the situation,temperature is the sole cause of fatigue,job analysis guarantees motivation,2,The Hawthorne effect shows behavior changes due to awareness of observation.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which statement best describes the Hawthorne effect?,A permanent increase in productivity caused by brighter lighting,A change in behavior produced by awareness of observation and expectations about participation,A reduction in output caused only by poor wages,A tendency for raters to let one trait influence all ratings,2,The Hawthorne effect involves behavioral changes due to observation and expectations.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
The broader significance of the Hawthorne studies was that they helped stimulate the:,trait theory of leadership,human relations movement,behavior genetics movement,psychodynamic movement in organizations,2,"The studies emphasized social factors, leading to the human relations movement.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"According to the human relations movement, productivity is influenced strongly by:",social factors and worker morale,IQ alone,motor speed only,financial audits and tax policy,1,Worker morale and social relationships significantly impact productivity.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"A company improves lighting, break schedules, and room conditions, yet productivity rises regardless of the specific physical change. Which is the best I/O interpretation?",Every physical change automatically improves productivity,Worker output is controlled only by heredity,"Observation, meaning, and social context may be influencing performance",The job no longer requires supervision,3,Performance improvements may result from psychological and social factors rather than physical changes alone.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which postwar development helped personnel issues become a more distinct specialty area in I/O psychology?,The publication of Personnel Psychology,The elimination of employee testing,The rejection of performance appraisal,The end of organizational research,1,This publication formalized personnel psychology as a distinct field.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Civil rights legislation had a major impact on I/O psychology mainly because it increased attention to:,dream analysis in the workplace,fairness in employment testing and personnel decisions,replacing all tests with astrology,eliminating documentation in selection,2,"Civil rights laws emphasized fair, job-related, and non-discriminatory employment practices, especially in testing and personnel decisions.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which of the following best reflects the first trend in I/O psychology identified in Chapter 1?,The workforce is becoming less diverse and less global,"Jobs and organizations are changing rapidly due to technology, flatter structures, and remote work",Scientific management has fully solved modern work problems,All organizations are returning to rigid hierarchies,2,"A major trend is the changing nature of work due to technological advancements, flexible structures, and remote work systems.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Organizational downsizing is best defined as:,increasing the number of hierarchical levels,expanding job duties for each manager only,"reducing the workforce to improve efficiency, productivity, or competitiveness",outsourcing only clerical work,3,Downsizing involves reducing the number of employees to improve efficiency and competitiveness.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
One likely psychological consequence of organizational downsizing is:,guaranteed increases in loyalty and commitment,greater job insecurity among workers,elimination of role stress,automatic improvement in morale,2,Downsizing often leads to uncertainty and fear of job loss among employees.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Outsourcing refers to:,using internal staff to do all core and support work,contracting an external organization to perform work previously done or potentially done in-house,promoting only from within,decentralizing authority across divisions,2,Outsourcing is the practice of hiring external providers to perform organizational tasks.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
The second major trend discussed in the chapter emphasizes:,decreasing focus on people because technology matters more,expanding focus on human resources and talent management,eliminating retraining for older workers,replacing recruitment with random hiring,2,Organizations increasingly recognize the importance of managing and developing human talent.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Why is talent management increasingly important according to Chapter 1?,Because all workers are interchangeable,Because organizations recognize that skilled and creative workers are central to success,Because job analysis is no longer useful,Because workforce diversity has ended,2,Skilled and creative employees are critical assets that drive organizational success.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
The third trend in I/O psychology highlights the increasing:,dependence on projective testing in industry,diversity and globalization of the workforce,rejection of cross-cultural issues,disappearance of women from the workforce,2,Workforce diversity and globalization are major trends influencing modern organizations.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
One major potential advantage of workforce diversity is that it can:,eliminate all workplace conflict automatically,reduce the need for management,"increase creativity, innovation, and understanding of varied markets",make training unnecessary,3,Diverse perspectives enhance innovation and allow organizations to better serve varied markets.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"A multicultural team begins experiencing misunderstandings and reduced coordination. From Chapter 1, the best conclusion is that diversity:",is purely harmful to organizations,"has benefits, but if not managed well can increase conflict and hinder team functioning",matters only in manufacturing settings,should be eliminated from organizations,2,Diversity brings advantages but requires proper management to prevent conflict and inefficiency.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
The fourth trend in Chapter 1 suggests that I/O psychology is becoming increasingly relevant to:,policy and practice,astrology and handwriting analysis,only academic debate,only factory floor layout,1,I/O psychology is increasingly applied to real-world organizational policies and practices.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which of the following best reflects an industrial/personnel concern rather than an organizational one?,leadership style,employee selection and performance evaluation,conflict management in teams,organizational culture,2,"Personnel psychology focuses on selection, staffing, and performance evaluation processes.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which of the following best reflects an organizational concern rather than a personnel one?,test validation,job analysis,employee motivation and communication,scoring achievement tests,3,"Organizational psychology focuses on motivation, communication, and group dynamics.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"Which area of I/O psychology is most closely concerned with workplace design, human-machine interaction, safety, and physical strain?",Clinical counseling,Human factors/ergonomics,Consumer psychology,Comparative psychology,2,Human factors psychology deals with designing work environments that match human abilities and limitations.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"Under RA 10029, a registered psychometrician is authorized to perform which activity under the supervision of a licensed professional psychologist?",Conduct psychotherapy independently,"Administer and score objective personality and structured tests, excluding projective and higher-level tests",Diagnose all psychiatric disorders independently,Prescribe psychotropic medication,2,RA 10029 allows psychometricians to administer and score certain standardized tests under supervision.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
