Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
A researcher examines how individuals adjust their goals after experiencing major life setbacks. This best reflects which characteristic of development?,Universality,Plasticity,Irreversibility,Determinism,2,Plasticity refers to the capacity for change and adaptation in response to life experiences and challenges.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"Which concept emphasizes that development results from ongoing, bidirectional interactions between biology and environment?",Epigenesis,Reflex integration,Canalization,Maturation,1,Epigenesis highlights the continuous interaction between genetic and environmental influences shaping development.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A developmental psychologist studies how economic recession influences career decisions of young adults. This is best classified as:,Normative age-graded influence,Normative history-graded influence,Non-normative influence,Biological influence,2,Historical events affecting large groups at a specific time are normative history-graded influences.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A major limitation of longitudinal research is:,inability to study change over time,susceptibility to cohort effects,participant attrition and practice effects,lack of ecological validity,3,Longitudinal studies often face participant dropout and repeated testing effects over time.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"When a child learns that birds have wings and later includes bats in the same category, this reflects:",accommodation,assimilation,equilibration,centration,2,Assimilation involves incorporating new information into existing cognitive schemas.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A theorist who explains behavior primarily through unconscious motivations and early childhood conflicts aligns with:,Cognitive theory,Psychoanalytic theory,Sociocultural theory,Ecological theory,2,Psychoanalytic theory emphasizes unconscious processes and early experiences.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which prenatal factor most strongly contributes to neural tube defects?,Excess iron,Lack of folic acid,High protein intake,Low glucose levels,2,Folic acid deficiency is strongly associated with neural tube defects.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A pregnant woman experiences chronic stress, leading to elevated cortisol levels. This may most directly affect the fetus by:",enhancing neural pruning,altering brain development,improving immune functioning,increasing birth weight,2,Elevated maternal stress hormones can disrupt fetal brain development.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A newborn turns its head toward a touch on the cheek. This reflex is:,Moro reflex,Babinski reflex,rooting reflex,sucking reflex,3,The rooting reflex helps infants locate food by turning toward cheek stimulation.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which condition is characterized by failure to thrive due to severe emotional neglect?,Teratogenic syndrome,Nonorganic failure to thrive,Sudden infant death syndrome,Neonatal jaundice,2,Emotional deprivation can lead to growth failure without medical cause.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
An infant repeatedly drops a spoon from a high chair to watch it fall. This behavior reflects:,tertiary circular reactions,primary circular reactions,reflexive schemes,symbolic play,1,Tertiary circular reactions involve experimenting with actions to observe new outcomes.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
The realization that objects continue to exist even when not perceived emerges toward the end of:,preoperational stage,sensorimotor stage,concrete operational stage,formal operational stage,2,Object permanence develops during the sensorimotor stage.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A toddler who uses two-word combinations like ""want milk"" is demonstrating:",holophrastic speech,telegraphic speech,babbling,echolalia,2,"Telegraphic speech consists of short, meaningful word combinations.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"According to information-processing theory, improvement in children's thinking is largely due to:",stage transitions,increased processing efficiency,moral reasoning,unconscious drives,2,"Cognitive development is explained by improvements in attention, memory, and speed.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A caregiver consistently responds to an infant's needs in a timely and sensitive manner. This most likely promotes:,avoidant attachment,disorganized attachment,secure attachment,resistant attachment,3,Consistent and responsive caregiving fosters secure attachment.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child insists that a toy animal is alive because it moves. This reflects:,conservation,animistic thinking,reversibility,seriation,2,Animism involves attributing life to inanimate objects.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"When children focus on one aspect of a situation and ignore others, they demonstrate:",decentration,centration,classification,transitivity,2,Centration is focusing on a single dimension of a situation.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A teacher helps a child solve a puzzle by giving hints and gradually reducing assistance. This is an example of:,conditioning,scaffolding,reinforcement,extinction,2,Scaffolding involves guided support that is gradually withdrawn.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child begins to understand that gender remains the same despite changes in appearance. This is:,gender identity,gender constancy,gender typing,gender schema,2,Gender constancy is the understanding that gender is stable over time.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A parenting style characterized by high warmth and low control is:,authoritarian,authoritative,permissive,neglectful,3,Permissive parenting is warm but lacks firm control or discipline.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child becomes upset when excluded from a group activity. This reflects development in:,motor skills,emotional regulation,peer relations,sensory processing,3,Social exclusion directly involves peer interaction and reflects development in social relationships.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which cognitive ability improves significantly during middle childhood?,Reflexive behavior,Hypothetical reasoning,Logical operations on concrete objects,Magical thinking,3,Middle childhood is characterized by concrete operational thinking involving logical reasoning about tangible objects.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child who understands that 5 + 3 = 8 and 8 - 3 = 5 demonstrates:,centration,reversibility,conservation,seriation,2,"Reversibility is the ability to mentally reverse operations, a key feature of concrete operational thought.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor most strongly predicts academic success in middle childhood?,Birth order,Parental income alone,Self-regulation and motivation,Physical strength,3,Self-regulation and motivation are strong predictors of academic achievement.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child who is rejected by peers is most likely to exhibit:,high social competence,increased prosocial behavior,aggression or withdrawal,advanced moral reasoning,3,Peer rejection is often associated with maladaptive behaviors such as aggression or withdrawal.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Adolescents' tendency to believe their experiences are unique is called:,personal fable,imaginary audience,identity diffusion,moral relativism,1,Personal fable refers to the belief in one's uniqueness and invulnerability.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
The onset of puberty is triggered primarily by:,environmental stressors,activation of the hypothalamic-pituitary axis,peer influence,cognitive development,2,Hormonal activation of this axis initiates puberty.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Adolescents who can think about abstract ideals such as justice are demonstrating:,concrete operations,preoperational thinking,formal operational thinking,sensorimotor reasoning,3,Formal operations enable abstract and hypothetical reasoning.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A teenager who adopts parents' beliefs without exploration is in identity:,achievement,moratorium,foreclosure,diffusion,3,Foreclosure involves commitment without prior exploration.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor most increases risk for adolescent substance use?,Strong parental monitoring,Academic engagement,Association with deviant peers,High self-esteem,3,Peer influence is a major risk factor for substance use.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
