Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
A developmental psychologist studies how people change from conception to late adulthood while also examining which characteristics remain relatively stable. This best reflects which definition,Abnormal psychology,Human development,Evolutionary biology,Educational assessment,2,B is correct because human development is the scientific study of systematic processes of change and stability across the life span.,Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
Which set correctly states the four modern goals of the scientific study of human development,"Classification, diagnosis, intervention, treatment","Observation, reflection, interpretation, theory building","Description, explanation, prediction, intervention","Measurement, standardization, regulation, evaluation",3,"C is correct because developmental science aims to describe behavior, explain why it occurs, predict future outcomes, and intervene when appropriate.",Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
"A review class teaches that growth of the body and brain, motor skills, and health belong to one domain; learning, memory, and reasoning to another; and emotions and social relationships to a third. Which statement is most accurate",The three domains develop independently.,Cognitive development is primary and determines the others.,The three domains are distinct but interrelated.,Psychosocial development is merely a by-product of physical maturation.,3,"C is correct because physical, cognitive, and psychosocial development are analytically separable but continuously influence one another.",Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
A child's chronic ear infections are followed by delayed language development and then lower self-confidence in school. Which principle is best illustrated,Development is stage-locked.,"Physical, cognitive, and psychosocial development influence one another.",Heredity fully determines later functioning.,Social construction explains all developmental outcomes.,2,"B is correct because a physical problem affected language development, which then influenced psychosocial functioning.",Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
"A board examinee says, ""Adolescence exists because biology created it as a fixed universal boundary."" Based on Chapter 1, the best correction is:",Correct; all life periods are biologically fixed.,Correct; culture only changes how adolescence is celebrated.,"Incorrect; periods of the life span are social constructions, though they may reflect biological changes.",Incorrect; adolescence is purely imaginary and has no developmental significance.,3,"C is correct because the text treats periods of the life span as social constructions, with culturally shaped boundaries and meanings.",Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
Which sequence correctly lists the eight periods of development used in the text,"Prenatal, infancy, preschool, school age, puberty, adulthood, senescence, death","Prenatal, infancy and toddlerhood, early childhood, middle childhood, adolescence, emerging and young adulthood, middle adulthood, late adulthood","Fetal, infancy, childhood, preadolescence, adolescence, adulthood, old age, terminal decline","Conception, infancy, childhood, teenage years, young adulthood, parenthood, retirement, death",2,B is correct because it exactly matches the periodization used in Chapter 1.,Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
Which developmental task is most central in adolescence according to the chapter overview,Developing basic trust,Establishing autonomous adulthood,Searching for identity,Reviewing one's life for meaning,3,"C is correct because adolescence centers on the search for personal, sexual, and occupational identity.",Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
"A clinician says that development is best understood as the unfolding of a natural sequence of physical and behavioral changes, such as walking and talking emerging with bodily and brain growth. This refers to:",Plasticity,Heredity,Maturation,Accommodation,3,C is correct because maturation refers to the unfolding of a natural sequence of physical and behavioral changes.,Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
Which statement best reflects the contemporary position on nature and nurture,Nurture is now known to fully override nature.,"Nature is more important in childhood, nurture only in adulthood.",Most characteristics reflect a blend of heredity and environment.,Nature-nurture debates are obsolete because environment no longer matters.,3,C is correct because modern developmental science emphasizes how heredity and environment work together.,Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
"A family lives with grandparents, aunts, uncles, and cousins, and adults share both breadwinning and child-rearing responsibilities. This is best classified as:",Nuclear family,Extended family,Peer group,Mesosystem,2,B is correct because an extended family includes a multigenerational kinship network beyond parents and children.,Medium,Developmental Psychology,Chapter 1: Theory and Research,Theory and Research
