Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
"During a case conference, a psychometrician describes a client's ""test results"" as a subset of the broader ""assessment process."" According to the semantic distinction that emerged after World War II, what is the primary difference between the two-",Testing is more inclusive and involves the integration of multiple data sources.,Assessment is the process of measuring variables to obtain a sample of behavior.,Assessment is a problem-solving process that involves the gathering and integration of psychology-related data.,"Testing is always collaborative, while assessment is always conducted by a single evaluator.",3,Psychological assessment is defined as the gathering and integration of data for evaluation. Testing is the more limited process of measuring variables to get a sample of behavior.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"A school psychologist is asked, ""Can this child function in a regular classroom-"" This specific inquiry, which initiates the assessment process, is known as a:",Referral question,Clinical hypothesis,Evaluative mandate,Diagnostic criterion,1,"The process begins with a referral for assessment from a source like a teacher or judge, often involving a specific ""referral question"".",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"In a ""collaborative psychological assessment,"" how are the assessor and the assessee characterized-",Subject and observer,Expert and novice,Partners,Patient and clinician,3,"In collaborative psychological assessment, the assessor and assessee work as ""partners"".",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Which approach to assessment is characterized by an ""evaluation > intervention > evaluation"" model and is often used in educational settings to measure the interactive nature of learning-",Static assessment,Remote assessment,Dynamic assessment,Retrospective assessment,3,"Dynamic assessment follows an ""evaluation > intervention > evaluation"" model and focuses on the interactive nature of the process.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
A psychometrician uses a device to measure a specific sample of a student's behavior to determine their math proficiency. This specific device or procedure is defined as a:,Portfolio,Test,Behavioral observation,Case study,2,A test is a measuring device or procedure designed to obtain a sample of behavior.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
Which tool of assessment involves a reciprocal exchange of information and allows the assessor to note both verbal and nonverbal behaviors-,Psychological autopsy,Role-play test,Interview,Behavioral observation,3,"An interview is a method of gathering information through direct communication involving reciprocal exchange, where verbal and nonverbal behaviors are noted.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"A job applicant submits a collection of their past architectural designs and blueprints as part of the hiring process. In assessment terms, this collection is a:",Case history,Portfolio,Naturalistic observation,CAPA,2,A portfolio is a collection of work products used as samples of ability and accomplishment.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"If a researcher observes children's play behavior in a public park without intervening, what specific variety of assessment is being used-",Role-play testing,Naturalistic observation,Clinical observation,Remote assessment,2,Naturalistic observation occurs when behavior is monitored in the setting where it would typically occur.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"In the acronym CAPA, the word ""assisted"" refers to the assistance provided to whom-",The testtaker,The test developer,The test user,The test publisher,3,"In CAPA (Computer-Assisted Psychological Assessment), ""assisted"" refers to the help provided to the test user (the professional).",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
A computer program that tailors the difficulty of the next question based on the testtaker's previous response is an example of:,Computer-Assisted Psychological Assessment (CAPA),Computer Adaptive Testing (CAT),Online Unregulated Testing,Automated Scoring System,2,Computer Adaptive Testing (CAT) tailors the test to the testtaker's ability or pattern.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"According to the Cohen text, who is the party responsible for the ""technical quality"" and the ""responsible development"" of a test-",The test user,The testtaker,The test developer,The society at large,3,Test developers and publishers are responsible for creating tests and ensuring their technical quality and ethical development.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"A ""psychological autopsy"" is best described as:",A physical examination of a deceased person's brain.,A reconstruction of a deceased individual's psychological profile using archival data.,A test administered to individuals who have attempted suicide.,A clinical interview conducted during a funeral.,2,A psychological autopsy is a reconstruction of a deceased person's profile based on archival records and interviews.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"In clinical settings, what is the ""hallmark"" of testing compared to other settings-",It is always conducted in groups.,It is employed with only one individual at a time.,It only uses projective tests.,It is exclusively used for hiring decisions.,2,The hallmark of clinical testing is that it is typically employed with only one individual at a time.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
A student is given a test to evaluate how much they have learned in their Algebra class after a semester of instruction. This is an example of an:,Intelligence test,Achievement test,Aptitude test,Interest inventory,2,Achievement tests evaluate accomplishment or the degree of learning that has taken place.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"What is the primary objective of assessment in ""geriatric settings""-",To determine if the individual is fit for work.,To evaluate the quality of life and cognitive/adaptive functioning.,To screen for recruits during wartime.,To assign the individual to a specific grade level.,2,"In geriatric settings, assessment evaluates cognitive/adaptive functioning to ensure quality of life.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
A psychometrician ensures that the testing room is well-ventilated and free from distractions like excessive noise or glaring sunlight. This responsibility falls under which phase of assessment-,Test conceptualization,Before the test administration,During the test scoring,After the test interpretation,2,"Ensuring the environment is suitable is a responsibility test users have ""before"" the test is administered.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Adaptation of a test or procedure to make it suitable for an assessee with exceptional needs (e.g., a person with a visual impairment) is known as:",Alternate assessment,Standardized protocol,Accommodation,Role-play,3,Accommodation is the adaptation of a test or procedure to make it suitable for an assessee with exceptional needs.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
