Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement best reflects the Chapter 1 definition of a psychological disorder- impairment and not merely a culturally expected response),Any unusual behavior is abnormal if it differs from the majority,A psychological disorder is a psychological dysfunction associated with distress or impairment and not merely a culturally expected response,A psychological disorder is any behavior caused by biological abnormality,A psychological disorder is any severe emotional reaction to stress,2,"This definition reflects the key components of psychological disorder: dysfunction, distress or impairment, and deviation from cultural expectations.",Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
"A student becomes intensely distressed after failing one quiz and says, ""Since I feel bad, I must have a psychological disorder."" Which response is most accurate- (Answer: C. Incorrect, because diagnosis requires more than distress alone)","Correct, because distress alone is sufficient for diagnosis","Correct, because all intense emotions indicate abnormality","Incorrect, because diagnosis requires more than distress alone","Incorrect, because only biological symptoms qualify",3,"Distress alone is not sufficient for diagnosis; multiple criteria must be considered, including impairment and cultural context.",Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Which of the following most clearly illustrates the scientist-practitioner model-,Using only one favored theory for all clients,Depending on intuition rather than evidence,Applying research findings while systematically evaluating one's own clinical work,Avoiding diagnosis because labels are stigmatizing,3,The scientist-practitioner model integrates research with clinical practice and ongoing evaluation.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Which question is most consistent with the clinical description component of psychopathology- have they lasted-),What neurotransmitter is involved-,"What symptoms are present, how severe are they, and how long have they lasted-",Which treatment is cheapest-,What legal issue may arise-,2,"Clinical description focuses on identifying symptoms, severity, duration, and associated features.",Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
"In psychopathology research, etiology refers to: contributing factors of a disorder)",The legal status of a disorder,The expected treatment outcome,The causes or contributing factors of a disorder,The rate of relapse after treatment,3,Etiology specifically refers to the origins or causes of a disorder.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Prevalence refers to: given time),The number of new cases during a given period,The total number of cases in a population at a given time,The probability of recovery after treatment,The number of symptoms required for diagnosis,2,Prevalence measures all existing cases in a population at a specific point in time.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Incidence refers to: specified period),The number of existing and new cases combined,The seriousness of impairment,The number of new cases occurring during a specified period,The duration of the disorder,3,Incidence counts only new cases that develop within a certain time frame.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Which statement best captures the supernatural tradition in abnormal behavior-,Abnormal behavior results from disturbed neurotransmitters only,Abnormal behavior is best explained by learning history alone,"Abnormal behavior may reflect the action of demons, spirits, or cosmic forces",Abnormal behavior is always a moral weakness,3,The supernatural tradition attributes abnormal behavior to external spiritual or mystical forces.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
A community attributes bizarre behavior to spirit possession and seeks ritual expulsion of the spirit. This most clearly reflects:,Behavioral tradition,Humanistic tradition,Supernatural tradition,Biological tradition,3,Spirit possession and exorcism are hallmark features of supernatural explanations.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Which historical figure is most associated with the early biological tradition-,Freud,Hippocrates,Mesmer,Rogers,2,Hippocrates proposed that abnormal behavior results from physical imbalances in the body.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
The early biological tradition is best represented by the view that abnormal behavior:,Originates mainly from unconscious conflict,Is due to physical illness or internal bodily dysfunction,Is always chosen voluntarily,Should be treated by confession and exorcism,2,The biological model views abnormal behavior as stemming from physiological or medical causes.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Which statement about the psychological tradition is most accurate- explains abnormal behavior in terms of psychological development and experience),It rejects social influences entirely,It explains abnormal behavior in terms of psychological development and experience,It assumes all disorders are inherited,It is identical to the biological model,2,"The psychological tradition focuses on internal mental processes, development, and experience.",Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
Moral therapy was based primarily on the idea that many patients improve when treated with:,"Fear, punishment, and seclusion","Kindness, structure, and humane care",Strict medication alone,Religious coercion,2,Moral therapy emphasized humane and respectful treatment conditions.,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
"Which situation best illustrates the spirit of moral therapy- rest, predictable routines, respectful interaction, and purposeful activity)",Chaining disturbed patients to prevent movement,"Providing rest, predictable routines, respectful interaction, and purposeful activity",Encouraging public humiliation to build insight,Using aversive stimulation for all symptoms,2,"Moral therapy involves structured, humane, and supportive environments.",Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
One major reason for the decline of moral therapy was: numbers of patients and limited resources made individualized humane care difficult),It was shown to worsen all disorders,Large numbers of patients and limited resources made individualized humane care difficult,Freud prohibited its use,It was replaced immediately by community care,2,Overcrowding and lack of resources made moral therapy difficult to sustain. Continuing with the same format:,Medium,Abnormal Psychology,Chapter 1: Chapter 1,Chapter 1
